SPEED,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,ACCELERATION
140.506,3.1497599999999997,3.20742,3.3715699999999997,3.6710000000000003,4.16777,4.99557,6.47936,9.63342,19.952,114.67,36.1693,19.1877,13.333,10.4593,8.82536,7.83893,7.24896,6.93761,1
114.829,7.89058,8.00937,8.37416,9.040410000000001,10.123,11.8472,14.6699,19.5812,28.7705,47.1184,114.911,6.54788,4.30472,3.30845,2.76245,2.43801,2.24467,2.14133,1
64.6793,8.05941,8.486839999999999,9.12687,10.0245,11.2384,12.8349,14.8717,17.3702,20.2861,23.4973,26.822,4.09813,3.1555299999999997,2.69279,2.438,2.2964599999999997,2.23463,2.2423900000000003,1
60.7427,5.2365900000000005,5.54251,6.082669999999999,6.97428,8.47388,11.2297,17.4264,41.7102,63.1096,21.8145,12.5472,8.998,7.184139999999999,6.13399,5.49744,5.121569999999999,4.934130000000001,4.9036599999999995,1
51.7144,9.420739999999999,9.44396,9.59811,9.88757,10.3199,10.9049,11.6525,12.5698,13.6569,14.9125,17.046,22.1468,1.6303299999999998,1.0629,0.8352370000000001,0.713056,0.642423,0.60325,0
131.987,5.03015,5.1077699999999995,5.35303,5.80841,6.56655,7.82578,10.0608,14.7083,28.971999999999998,125.91799999999999,28.6157,14.5298,9.939219999999999,7.73146,6.4875300000000005,5.7386,5.28875,5.04649,1
119.686,7.9223,8.03236,8.388,9.04307,10.1098,11.8079,14.5823,19.3932,28.3645,49.7121,87.0228,6.58713,4.29292,3.28612,2.73692,2.4110400000000003,2.21654,2.11175,0
86.4888,0.9978030000000001,1.01065,1.05694,1.14488,1.29284,1.54108,1.98965,2.97398,7.81049,36.2378,26.2696,19.8721,15.765,13.120999999999999,11.3942,10.2643,9.54894,9.14605,1
51.2722,0.553878,0.5560039999999999,0.57715,0.6214350000000001,0.699064,0.8341770000000001,1.0962399999999999,1.8877700000000002,17.3123,15.8758,14.5399,13.3436,12.3093,11.4448,10.7475,10.2095,9.82077,9.57214,1
59.5519,5.89571,6.20214,6.758780000000001,7.6816,9.22075,11.9867,17.9001,37.5826,55.9448,21.8067,11.6854,8.15025,6.4067,5.4131599999999995,4.81301,4.4545,4.26633,4.21634,1
117.835,5.71698,5.75513,5.9747900000000005,6.41235,7.1499,8.35989,10.4277,14.3743,23.8354,59.4762,50.214,15.0746,9.512080000000001,7.13898,5.8642900000000004,5.1109599999999995,4.65637,4.39996,1
149.472,3.28955,3.34314,3.5062900000000004,3.8068199999999996,4.305540000000001,5.1312,6.58838,9.57083,18.0483,67.8183,47.2295,20.1655,13.5149,10.4526,8.75351,7.738460000000001,7.13232,6.8087800000000005,1
121.32700000000001,3.8558199999999996,3.90266,4.07603,4.40559,4.957,5.87007,7.47382,10.732000000000001,20.1095,60.928000000000004,43.0378,18.9246,12.6957,9.7753,8.14847,7.17271,6.58432,6.26096,1
72.936,5.00858,5.08628,5.33097,5.78504,6.54091,7.7964899999999995,10.0256,14.6637,28.9231,193.343,28.6653,14.5745,9.97443,7.76077,6.51318,5.76198,5.31082,5.06799,1
98.4442,1.11588,1.15123,1.22905,1.36504,1.5939299999999998,2.0001599999999997,2.8553900000000003,6.05687,38.9468,136.031,26.5652,17.7009,13.7861,11.6358,10.3638,9.60292,9.14015,8.91743,1
153.71200000000002,3.6383400000000004,3.7104,3.90645,4.261080000000001,4.84855,5.82935,7.59696,11.4002,24.3078,91.7926,32.2066,17.4425,12.2143,9.62247,8.14213,7.247380000000001,6.713610000000001,6.43518,1
58.9614,8.49993,8.7064,9.09412,9.68803,10.5263,11.8116,13.9171,17.535,24.5058,41.2341,96.3223,5.06971,2.87158,2.21564,1.8804599999999998,1.6908900000000002,1.58759,1.54633,1
48.6453,5.21997,5.78627,6.719410000000001,8.31252,11.3478,18.773,44.5629,32.3449,19.8298,12.2986,9.11333,7.41758,6.41832,5.81195,5.4619,5.3036,5.28517,5.37936,1
146.444,3.4118,3.46545,3.63226,3.9407300000000003,4.45306,5.30057,6.79294,9.833169999999999,18.3683,66.8518,47.5565,19.9777,13.3432,10.3018,8.617460000000001,7.61163,7.010560000000001,6.68842,1
73.8151,9.20578,9.36783,9.771339999999999,10.459000000000001,11.5076,13.0413,15.248,18.3868,22.7487,28.4914,33.8909,2.28881,1.5473299999999999,1.20775,1.0191700000000001,0.9068870000000001,0.8408129999999999,0.807228,1
93.5221,1.3626,1.37605,1.4348100000000001,1.54935,1.7435200000000002,2.06969,2.65825,3.9497,49.5721,36.2896,26.3684,19.744,15.5262,12.8338,11.0857,9.94435,9.218910000000001,8.80322,1
100.039,4.6067,4.6285099999999995,4.79697,5.14024,5.72375,6.685860000000001,8.34143,11.5533,19.7641,39.2834,31.7759,18.9673,12.0864,9.07125,7.441039999999999,6.47425,5.88814,5.55409,0
143.737,5.03015,5.10764,5.35273,5.80789,6.5657,7.82435,10.0581,14.7021,28.9468,106.522,28.6407,14.5359,9.94187,7.732880000000001,6.48836,5.73911,5.28905,5.04663,1
57.1294,7.9833300000000005,7.958469999999999,8.08185,8.36073,8.81125,9.45861,10.3364,11.4832,12.9357,14.7144,16.8079,19.1889,22.7261,28.94,3.4408,2.71738,2.35527,2.15932,1
