SPEED,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,ACCELERATION
139.77200000000002,4.6696,4.7937,5.07886,5.57414,6.3808300000000004,7.71172,10.0627,14.8042,26.4942,58.0882,37.9437,14.4279,9.94547,7.84904,6.67485,5.9758,5.56952,5.37311,0
112.17399999999999,4.40722,4.43923,4.6129,4.95748,5.5395900000000005,6.500380000000001,8.164530000000001,11.4412,20.1327,67.5952,43.6438,18.7507,12.1759,9.22236,7.60803,6.64653,6.06439,5.73626,1
118.89,6.735469999999999,6.885560000000001,7.2557,7.90477,8.95231,10.6366,13.4609,18.5801,28.7056,48.4218,78.8783,9.28849,6.2851300000000005,4.913130000000001,4.15158,3.69863,3.43296,3.2994199999999996,0
86.8747,6.51579,6.62605,6.9550600000000005,7.560169999999999,8.565669999999999,10.2385,13.2225,19.4974,30.7694,37.208,19.1611,9.96008,6.86994,5.3676900000000005,4.51717,4.00435,3.69697,3.53312,1
57.6916,8.142330000000001,8.168280000000001,8.34507,8.68269,9.199819999999999,9.923689999999999,10.8885,12.130999999999998,13.6812,15.5483,17.9901,22.1062,29.8403,3.9611300000000003,2.81263,2.32618,2.06587,1.9263599999999999,1
140.267,4.42793,4.4183,4.5465599999999995,4.83375,5.3326199999999995,6.15485,7.547999999999999,10.1552,16.2691,59.6165,40.0185,22.6485,13.6006,9.93015,8.01149,6.889639999999999,6.20886,5.81122,0
62.0631,7.4341,7.75816,8.377930000000001,9.41625,10.9807,12.9124,15.161,17.6237,20.1539,22.5897,24.7789,5.520980000000001,4.240530000000001,3.52924,3.10304,2.84584,2.70387,2.65216,1
142.27100000000002,4.03979,4.11374,4.3227199999999995,4.70245,5.32932,6.3649,8.18799,11.8859,21.8566,62.0764,45.4825,17.6743,11.8502,9.18802,7.71295,6.8334,6.310969999999999,6.03662,1
154.149,3.6588199999999995,3.7314199999999995,3.92875,4.28561,4.87676,5.86375,7.64277,11.4718,24.4802,90.9739,32.068000000000005,17.3766,12.1706,9.589139999999999,8.11453,7.2232199999999995,6.69153,6.41429,1
56.8904,0.775331,0.7985260000000001,0.8521790000000001,0.9480280000000001,1.1134,1.4216,2.18928,27.7169,20.608,16.8078,14.5646,13.0984,11.9176,10.9844,10.2741,9.76201,9.42729,9.25527,1
