1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
1.0,0.0,2.784830127740239E-7,0.0,1.90735E-7,1.74846E-7,10.0,19.3185,200.0,19.3185,10.0
